ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-04-30,17.83977,12.944028624890715,24.79215261064526,17.83977,17.83977,1.013422419465677,1.013422419465677,1.013422419465677,1.013422419465677,1.013422419465677,1.013422419465677,0.0,0.0,0.0,18.853192419465678
2024-05-01,17.828292024590166,12.103881074213328,23.696832932296157,17.828292024590166,17.828292024590166,0.3590258855911284,0.3590258855911284,0.3590258855911284,0.3590258855911284,0.3590258855911284,0.3590258855911284,0.0,0.0,0.0,18.187317910181296
2024-05-02,17.81681404918033,13.101461513587934,24.35943957980902,17.81681404918033,17.81681404918033,1.035987899998893,1.035987899998893,1.035987899998893,1.035987899998893,1.035987899998893,1.035987899998893,0.0,0.0,0.0,18.852801949179224
2024-05-03,17.805336073770494,13.523321746912673,24.640234012955077,17.805336073770494,17.805336073770494,0.9917621949015234,0.9917621949015234,0.9917621949015234,0.9917621949015234,0.9917621949015234,0.9917621949015234,0.0,0.0,0.0,18.797098268672016
2024-05-04,17.79385809836066,11.342632535553024,22.339724895737284,17.79385809836066,17.79385809836066,-0.7340765112831374,-0.7340765112831374,-0.7340765112831374,-0.7340765112831374,-0.7340765112831374,-0.7340765112831374,0.0,0.0,0.0,17.05978158707752
2024-05-05,17.7823801210891,10.091953732858032,21.422117318092806,17.7823801210891,17.7823801210891,-1.8955407501214978,-1.8955407501214978,-1.8955407501214978,-1.8955407501214978,-1.8955407501214978,-1.8955407501214978,0.0,0.0,0.0,15.886839370967603
2024-05-06,17.770902143817548,11.443075753134767,22.420828078308183,17.770902143817548,17.770902143817548,-0.7705811385555591,-0.7705811385555591,-0.7705811385555591,-0.7705811385555591,-0.7705811385555591,-0.7705811385555591,0.0,0.0,0.0,17.000321005261988
2024-05-07,17.759424166545994,12.759358467206512,24.40133282004894,17.759424166545994,17.759424166545994,1.0134224194657593,1.0134224194657593,1.0134224194657593,1.0134224194657593,1.0134224194657593,1.0134224194657593,0.0,0.0,0.0,18.772846586011752
2024-05-08,17.747946189274437,12.504994393945054,24.10027729176569,17.747946189274437,17.747946189274437,0.3590258855910397,0.3590258855910397,0.3590258855910397,0.3590258855910397,0.3590258855910397,0.3590258855910397,0.0,0.0,0.0,18.106972074865478
2024-05-09,17.736468208368603,12.919471259411091,24.697512665686673,17.736468208368603,17.736468208368603,1.0359879000002972,1.0359879000002972,1.0359879000002972,1.0359879000002972,1.0359879000002972,1.0359879000002972,0.0,0.0,0.0,18.7724561083689
2024-05-10,17.72499022746277,12.978247519615389,24.50524163788479,17.72499022746277,17.72499022746277,0.99176219489975,0.99176219489975,0.99176219489975,0.99176219489975,0.99176219489975,0.99176219489975,0.0,0.0,0.0,18.716752422362518
2024-05-11,17.713512246556938,11.356319368877047,22.79181413776191,17.713512246556938,17.713512246556938,-0.7340765112760116,-0.7340765112760116,-0.7340765112760116,-0.7340765112760116,-0.7340765112760116,-0.7340765112760116,0.0,0.0,0.0,16.979435735280926
2024-05-12,17.702034265651104,9.96749150156117,21.412322754448475,17.702034265651104,17.702034265651104,-1.895540750121044,-1.895540750121044,-1.895540750121044,-1.895540750121044,-1.895540750121044,-1.895540750121044,0.0,0.0,0.0,15.806493515530061
2024-05-13,17.6905562844399,11.04843630415396,22.5978672022257,17.6905562844399,17.6905562844399,-0.7705811385551966,-0.7705811385551966,-0.7705811385551966,-0.7705811385551966,-0.7705811385551966,-0.7705811385551966,0.0,0.0,0.0,16.919975145884703
2024-05-14,17.679078303228692,13.029060907111091,24.566098186995923,17.679078303228692,17.679078303228692,1.0134224194663373,1.0134224194663373,1.0134224194663373,1.0134224194663373,1.0134224194663373,1.0134224194663373,0.0,0.0,0.0,18.69250072269503
2024-05-15,17.667600322017485,12.07581778927919,23.835841725323238,17.667600322017485,17.667600322017485,0.3590258855904608,0.3590258855904608,0.3590258855904608,0.3590258855904608,0.3590258855904608,0.3590258855904608,0.0,0.0,0.0,18.026626207607947
2024-05-16,17.65612234080628,13.321958086880928,24.528191438455885,17.65612234080628,17.65612234080628,1.0359878999965164,1.0359878999965164,1.0359878999965164,1.0359878999965164,1.0359878999965164,1.0359878999965164,0.0,0.0,0.0,18.692110240802798
2024-05-17,17.644644357454784,12.841041674967691,24.443031914695123,17.644644357454784,17.644644357454784,0.9917621948979767,0.9917621948979767,0.9917621948979767,0.9917621948979767,0.9917621948979767,0.9917621948979767,0.0,0.0,0.0,18.63640655235276
2024-05-18,17.633166374103293,11.138212359826408,22.853833932735593,17.633166374103293,17.633166374103293,-0.7340765112763957,-0.7340765112763957,-0.7340765112763957,-0.7340765112763957,-0.7340765112763957,-0.7340765112763957,0.0,0.0,0.0,16.899089862826898
2024-05-19,17.6216883907518,9.671730638350061,21.834522802524273,17.6216883907518,17.6216883907518,-1.8955407501205905,-1.8955407501205905,-1.8955407501205905,-1.8955407501205905,-1.8955407501205905,-1.8955407501205905,0.0,0.0,0.0,15.72614764063121
2024-05-20,17.610210281126125,11.241447547800124,23.00591148795131,17.610210281126125,17.610210281126125,-0.7705811385529608,-0.7705811385529608,-0.7705811385529608,-0.7705811385529608,-0.7705811385529608,-0.7705811385529608,0.0,0.0,0.0,16.839629142573166
2024-05-21,17.59873217150045,13.28673186883614,24.25973542169567,17.59873217150045,17.59873217150045,1.0134224194664194,1.0134224194664194,1.0134224194664194,1.0134224194664194,1.0134224194664194,1.0134224194664194,0.0,0.0,0.0,18.61215459096687
