ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-04-30,15.92832,11.479941215704494,23.798288883655438,15.92832,15.92832,1.9433529594121717,1.9433529594121717,1.9433529594121717,1.9433529594121717,1.9433529594121717,1.9433529594121717,0.0,0.0,0.0,17.87167295941217
2024-05-01,15.928109208360656,12.328955652146039,25.028825313763353,15.928109208360656,15.928109208360656,2.7781860111183136,2.7781860111183136,2.7781860111183136,2.7781860111183136,2.7781860111183136,2.7781860111183136,0.0,0.0,0.0,18.70629521947897
2024-05-02,15.927898416721312,12.524703033886379,24.743286490596354,15.927898416721312,15.927898416721312,2.5004484000036324,2.5004484000036324,2.5004484000036324,2.5004484000036324,2.5004484000036324,2.5004484000036324,0.0,0.0,0.0,18.428346816724947
2024-05-03,15.927687625081967,10.08294186513561,22.145260687231048,15.927687625081967,15.927687625081967,0.22007905253520305,0.22007905253520305,0.22007905253520305,0.22007905253520305,0.22007905253520305,0.22007905253520305,0.0,0.0,0.0,16.14776667761717
2024-05-04,15.927476833442624,8.18099727862607,20.68628990878601,15.927476833442624,15.927476833442624,-1.5386148041034404,-1.5386148041034404,-1.5386148041034404,-1.5386148041034404,-1.5386148041034404,-1.5386148041034404,0.0,0.0,0.0,14.388862029339183
2024-05-05,15.927266042373828,2.8096915144234584,15.72515260632318,15.927266042373828,15.927266042373828,-6.31001400925006,-6.31001400925006,-6.31001400925006,-6.31001400925006,-6.31001400925006,-6.31001400925006,0.0,0.0,0.0,9.61725203312377
2024-05-06,15.927055251305031,9.938697975955522,22.43321579410824,15.927055251305031,15.927055251305031,0.40656239026976093,0.40656239026976093,0.40656239026976093,0.40656239026976093,0.40656239026976093,0.40656239026976093,0.0,0.0,0.0,16.333617641574794
2024-05-07,15.926844460236236,11.231753594594325,23.980856559555278,15.926844460236236,15.926844460236236,1.9433529594065435,1.9433529594065435,1.9433529594065435,1.9433529594065435,1.9433529594065435,1.9433529594065435,0.0,0.0,0.0,17.87019741964278
2024-05-08,15.926633669167437,12.259523182601097,25.06446810309048,15.926633669167437,15.926633669167437,2.7781860111151953,2.7781860111151953,2.7781860111151953,2.7781860111151953,2.7781860111151953,2.7781860111151953,0.0,0.0,0.0,18.704819680282633
2024-05-09,15.926422878260782,12.142955428109081,24.701457089593255,15.926422878260782,15.926422878260782,2.50044839999575,2.50044839999575,2.50044839999575,2.50044839999575,2.50044839999575,2.50044839999575,0.0,0.0,0.0,18.42687127825653
2024-05-10,15.926212087354127,9.623156341627329,22.39672339229503,15.926212087354127,15.926212087354127,0.22007905253945342,0.22007905253945342,0.22007905253945342,0.22007905253945342,0.22007905253945342,0.22007905253945342,0.0,0.0,0.0,16.14629113989358
2024-05-11,15.926001296447472,8.14327099661217,20.504368125097596,15.926001296447472,15.926001296447472,-1.5386148040879255,-1.5386148040879255,-1.5386148040879255,-1.5386148040879255,-1.5386148040879255,-1.5386148040879255,0.0,0.0,0.0,14.387386492359546
2024-05-12,15.925790505540817,2.88175122896279,15.917656977188361,15.925790505540817,15.925790505540817,-6.310014009248972,-6.310014009248972,-6.310014009248972,-6.310014009248972,-6.310014009248972,-6.310014009248972,0.0,0.0,0.0,9.615776496291845
2024-05-13,15.925579714968721,10.122992104607864,22.633115756234524,15.925579714968721,15.925579714968721,0.4065623902674178,0.4065623902674178,0.4065623902674178,0.4065623902674178,0.4065623902674178,0.4065623902674178,0.0,0.0,0.0,16.33214210523614
2024-05-14,15.925368924396627,11.68562865436863,24.297435529707748,15.925368924396627,15.925368924396627,1.9433529594181458,1.9433529594181458,1.9433529594181458,1.9433529594181458,1.9433529594181458,1.9433529594181458,0.0,0.0,0.0,17.86872188381477
2024-05-15,15.925158133824532,12.115635366452768,25.11326313448782,15.925158133824532,15.925158133824532,2.7781860111225525,2.7781860111225525,2.7781860111225525,2.7781860111225525,2.7781860111225525,2.7781860111225525,0.0,0.0,0.0,18.703344144947085
2024-05-16,15.924947343252438,11.847735959803435,24.933135794339368,15.924947343252438,15.924947343252438,2.5004484000081533,2.5004484000081533,2.5004484000081533,2.5004484000081533,2.5004484000081533,2.5004484000081533,0.0,0.0,0.0,18.42539574326059
2024-05-17,15.924736553016565,8.996609893463651,22.31530797015669,15.924736553016565,15.924736553016565,0.2200790525437038,0.2200790525437038,0.2200790525437038,0.2200790525437038,0.2200790525437038,0.2200790525437038,0.0,0.0,0.0,16.144815605560268
2024-05-18,15.924525762780695,8.403777187045364,20.834511742688054,15.924525762780695,15.924525762780695,-1.5386148040943852,-1.5386148040943852,-1.5386148040943852,-1.5386148040943852,-1.5386148040943852,-1.5386148040943852,0.0,0.0,0.0,14.38591095868631
2024-05-19,15.924314972544822,3.163048593504397,15.933449239361092,15.924314972544822,15.924314972544822,-6.310014009247883,-6.310014009247883,-6.310014009247883,-6.310014009247883,-6.310014009247883,-6.310014009247883,0.0,0.0,0.0,9.61430096329694
2024-05-20,15.924104164265067,9.914467883130872,23.091879326927074,15.924104164265067,15.924104164265067,0.40656239027517393,0.40656239027517393,0.40656239027517393,0.40656239027517393,0.40656239027517393,0.40656239027517393,0.0,0.0,0.0,16.33066655454024
2024-05-21,15.923893355985312,11.60291634095857,24.207618885693282,15.923893355985312,15.923893355985312,1.9433529594125172,1.9433529594125172,1.9433529594125172,1.9433529594125172,1.9433529594125172,1.9433529594125172,0.0,0.0,0.0,17.86724631539783
